DNS Resolver Log Started: 2025-10-26T15:38:47.507270
{'step_of_resolution': 'Root', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'wpad', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2558s', 'timestamp': '2025-10-26T15:38:55.963412', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'tuhafhaberler.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2052s', 'timestamp': '2025-10-26T15:38:56.231119', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'tuhafhaberler.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2313s', 'timestamp': '2025-10-26T15:38:56.475052', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'rtsab.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2552s', 'timestamp': '2025-10-26T15:38:56.784902', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: dns01.dipcon.com. @ Glue IP: 193.14.90.50', 'domain_name': 'rtsab.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2930s', 'timestamp': '2025-10-26T15:38:57.089853', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'rtsab.com', 'cache_status': 'MISS', 'dns_server_ip': '193.14.90.50', 'round_trip_time': '0.3008s', 'timestamp': '2025-10-26T15:38:57.396885', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: a.dns.ripn.net. @ Glue IP: 193.232.128.6', 'domain_name': 'i-butterfly.ru', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2604s', 'timestamp': '2025-10-26T15:38:57.707752', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'sofia.ns.cloudflare.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2089s', 'timestamp': '2025-10-26T15:38:58.223202', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns3.cloudflare.com. @ Glue IP: 162.159.0.33', 'domain_name': 'sofia.ns.cloudflare.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.3897s', 'timestamp': '2025-10-26T15:38:58.632839', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 173.245.58.223', 'domain_name': 'sofia.ns.cloudflare.com.', 'cache_status': 'MISS', 'dns_server_ip': '162.159.0.33', 'round_trip_time': '0.1864s', 'timestamp': '2025-10-26T15:38:58.837273', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.8290s'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'i-butterfly.ru', 'cache_status': 'MISS', 'dns_server_ip': '193.232.128.6', 'round_trip_time': '0.2875s', 'timestamp': '2025-10-26T15:38:58.008476', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 172.67.151.138', 'domain_name': 'i-butterfly.ru', 'cache_status': 'MISS', 'dns_server_ip': '173.245.58.223', 'round_trip_time': '0.2940s', 'timestamp': '2025-10-26T15:38:59.138508', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '1.6918s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'datepanchang.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2483s', 'timestamp': '2025-10-26T15:38:59.451588', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: magnolia.ns.cloudflare.com. @ Glue IP: 108.162.194.214', 'domain_name': 'datepanchang.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2827s', 'timestamp': '2025-10-26T15:38:59.754032', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 20.101.2.157', 'domain_name': 'datepanchang.com', 'cache_status': 'MISS', 'dns_server_ip': '108.162.194.214', 'round_trip_time': '0.2934s', 'timestamp': '2025-10-26T15:39:00.056847', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.8539s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: d.nic.fr. @ Glue IP: 194.0.9.1', 'domain_name': 'localhost.re', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2594s', 'timestamp': '2025-10-26T15:39:00.370923', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'hassan.ns.cloudflare.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2033s', 'timestamp': '2025-10-26T15:39:00.882113', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns3.cloudflare.com. @ Glue IP: 162.159.0.33', 'domain_name': 'hassan.ns.cloudflare.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2441s', 'timestamp': '2025-10-26T15:39:01.143250', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 162.159.44.149', 'domain_name': 'hassan.ns.cloudflare.com.', 'cache_status': 'MISS', 'dns_server_ip': '162.159.0.33', 'round_trip_time': '0.2213s', 'timestamp': '2025-10-26T15:39:01.388711', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.7175s'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'localhost.re', 'cache_status': 'MISS', 'dns_server_ip': '194.0.9.1', 'round_trip_time': '0.2901s', 'timestamp': '2025-10-26T15:39:00.671193', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 104.21.50.127', 'domain_name': 'localhost.re', 'cache_status': 'MISS', 'dns_server_ip': '162.159.44.149', 'round_trip_time': '0.2101s', 'timestamp': '2025-10-26T15:39:01.606583', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '1.4958s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'daehepharma.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2451s', 'timestamp': '2025-10-26T15:39:01.907468', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns01.dhrcenter.com. @ Glue IP: 220.73.163.40', 'domain_name': 'daehepharma.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.3899s', 'timestamp': '2025-10-26T15:39:02.310582', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'daehepharma.com', 'cache_status': 'MISS', 'dns_server_ip': '220.73.163.40', 'round_trip_time': '0.5039s', 'timestamp': '2025-10-26T15:39:02.821406', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: a2.org.afilias-nst.info. @ Glue IP: 199.249.112.1', 'domain_name': 'ex-jw.org', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2610s', 'timestamp': '2025-10-26T15:39:03.136248', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'domain_name': 'ns10.wixdns.net.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2018s', 'timestamp': '2025-10-26T15:39:03.551387', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: dns1.p02.nsone.net. @ Glue IP: 198.51.44.2', 'domain_name': 'ns10.wixdns.net.', 'cache_status': 'MISS', 'dns_server_ip': '192.55.83.30', 'round_trip_time': '0.1916s', 'timestamp': '2025-10-26T15:39:03.759429', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 216.239.36.100', 'domain_name': 'ns10.wixdns.net.', 'cache_status': 'MISS', 'dns_server_ip': '198.51.44.2', 'round_trip_time': '0.2014s', 'timestamp': '2025-10-26T15:39:03.972696', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.6273s'}
