DNS Resolver Log Started: 2025-10-26T15:44:43.081679
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'cache_status': 'MISS', 'domain_name': 'wpad', 'timestamp': '2025-10-26T15:44:54.067400', 'round_trip_time': '0.3928s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'No authority section for delegation', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'likeminded.ca', 'timestamp': '2025-10-26T15:44:54.372693', 'round_trip_time': '0.2529s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: d.ca-servers.ca. @ Glue IP: 45.142.220.101', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'likeminded.ca', 'timestamp': '2025-10-26T15:44:54.603538', 'round_trip_time': '0.2210s', 'dns_server_ip': '45.142.220.101', 'response_or_referral': 'Delegation to: dns1.canspace.ca. @ Glue IP: 51.222.139.240', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'likeminded.ca', 'timestamp': '2025-10-26T15:44:54.888055', 'round_trip_time': '0.2781s', 'dns_server_ip': '51.222.139.240', 'response_or_referral': 'Answer: 198.100.154.154', 'total_time_to_resolution': '0.7690s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'alltransport.ru', 'timestamp': '2025-10-26T15:44:55.112623', 'round_trip_time': '0.1820s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: a.dns.ripn.net. @ Glue IP: 193.232.128.6', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'alltransport.ru', 'timestamp': '2025-10-26T15:44:55.344829', 'round_trip_time': '0.2205s', 'dns_server_ip': '193.232.128.6', 'response_or_referral': 'Delegation to: ns2.sprinthost.RU. @ Glue IP: 95.217.7.113', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'alltransport.ru', 'timestamp': '2025-10-26T15:44:55.595239', 'round_trip_time': '0.2427s', 'dns_server_ip': '95.217.7.113', 'response_or_referral': 'Answer: 141.8.192.214', 'total_time_to_resolution': '0.6649s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'brown.edu', 'timestamp': '2025-10-26T15:44:55.909656', 'round_trip_time': '0.2764s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: d.edu-servers.net. @ Glue IP: 192.31.80.30', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'brown.edu', 'timestamp': '2025-10-26T15:44:56.212328', 'round_trip_time': '0.2920s', 'dns_server_ip': '192.31.80.30', 'response_or_referral': 'Delegation to: ns1.ucsb.edu. @ Glue IP: 128.111.1.1', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'cache_status': 'MISS', 'domain_name': 'brown.edu', 'timestamp': '2025-10-26T15:44:56.620940', 'round_trip_time': '0.4007s', 'dns_server_ip': '128.111.1.1', 'response_or_referral': 'Answer: 128.148.252.151', 'total_time_to_resolution': '0.9879s'}
{'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'cache_status': 'MISS', 'domain_name': 'fauzanalfi.com', 'timestamp': '2025-10-26T15:44:56.931595', 'round_trip_time': '0.2628s', 'dns_server_ip': '198.41.0.4', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'total_time_to_resolution': 'N/A'}
