DNS Resolver Log Started: 2025-10-26T15:48:39.237830
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:49.790988', 'round_trip_time': '0.2284s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'wpad', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:50.046502', 'round_trip_time': '0.1912s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'tenant-internet.com', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:50.243312', 'round_trip_time': '0.1843s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'tenant-internet.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:50.511962', 'round_trip_time': '0.2126s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'gadanguides.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: f.ns.se. @ Glue IP: 192.71.53.53', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:51.023656', 'round_trip_time': '0.2054s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns1.loopia.se.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns1.loopia.se. @ Glue IP: 93.188.0.20', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:51.330511', 'round_trip_time': '0.2953s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.71.53.53', 'domain_name': 'ns1.loopia.se.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 93.188.0.20', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:48:51.544139', 'round_trip_time': '0.2073s', 'total_time_to_resolution': '0.7309s', 'dns_server_ip': '93.188.0.20', 'domain_name': 'ns1.loopia.se.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:50.813055', 'round_trip_time': '0.2857s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'gadanguides.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 93.188.2.51', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:48:51.836010', 'round_trip_time': '0.2875s', 'total_time_to_resolution': '1.5369s', 'dns_server_ip': '93.188.0.20', 'domain_name': 'gadanguides.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: dns1.nic.uk. @ Glue IP: 213.248.216.1', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:52.150809', 'round_trip_time': '0.2589s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'charityjob.co.uk', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:48:52.662254', 'round_trip_time': '0.2075s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'noah.ns.cloudflare.com.', 'cache_status': 'MISS'}
